id,name,description,city,country,capacity
020ba82a-6407-4ed1-8967-1565ef4d5af3,Williams-White,Visionary content-based solution,Vienna,Austria,109
da97e530-a8d7-4759-9807-bf4a91859e06,Harris-Davenport,User-centric actuating orchestration,Amsterdam,Netherlands,150
bda16fd0-6104-42e5-b98b-4842926403d1,Rush LLC,Mandatory 6thgeneration project,Vienna,Austria,453
8f811e1a-0b3f-4fa9-a403-cf1d2eb9999c,"Jones, Kirby and Sutton",Future-proofed analyzing standardization,Budapest,Hungary,298
ae65f131-153b-4d0c-a40e-929d8287da00,"Mckay, Davis and Richardson",Secured 4thgeneration initiative,Budapest,Hungary,409
a4a65a97-fca6-43df-a46d-a7b5e11e0e57,Medina-Trujillo,Configurable upward-trending core,Amsterdam,Netherlands,275
ccd0f504-e0f4-4e25-8dbc-69b7d457c853,"Garrett, Joyce and Whitehead",Networked zero-defect benchmark,Vienna,Austria,219
a86f5984-7347-48e7-aaa5-2d4c6e6e6d52,Jennings LLC,User-friendly directional leverage,Prague,Czech Republic,251
b5075d7e-1859-4803-aa81-5cc5685621b8,Estrada LLC,Organic intermediate infrastructure,Budapest,Hungary,128
5f26ce39-793c-4970-abfc-41cd40b56750,"Long, Murphy and Henson",Phased heuristic intranet,Warsaw,Poland,91
05b36d30-4d91-4d8b-a645-c6e14a2f37b4,Johnson-Coleman,Phased tangible archive,Amsterdam,Netherlands,36
a9737f2f-9fbd-49e0-8701-553e7d25e04b,"Jones, Barajas and Watson",Virtual optimal encoding,Warsaw,Poland,357
f255e18d-288f-4969-9a21-f33a8cb0fa64,Perez-Morales,Centralized directional capacity,Prague,Czech Republic,405
5e2e0e5f-067f-4a51-9481-86f869dfdb06,"Edwards, Garcia and Johnson",Grass-roots full-range encryption,London,United Kingdom,52
ba0ad9f6-4e77-4baf-ab07-61b75e920bb0,Li Group,Proactive content-based concept,Madrid,Spain,408
f5e8ecd8-4a82-4db7-a560-6e69877cbe16,Parsons Ltd,Assimilated value-added extranet,Vienna,Austria,113
2f2d1e20-67c1-4a21-b0f5-e0972390b5bd,"Berry, Moss and Lawrence",Fundamental leadingedge implementation,Warsaw,Poland,135
124ed88f-ee8a-49eb-a8e2-d21f23cbe177,Maxwell and Sons,Configurable context-sensitive emulation,Prague,Czech Republic,84
ecfd8864-d9ac-4e79-af05-311d22728d26,King PLC,Sharable zero tolerance info-mediaries,Berlin,Germany,57
417f9722-a9e5-4a86-aa9f-c15224eb0ec7,"Nguyen, Pierce and Jordan",Re-contextualized uniform definition,Paris,France,199
2f0252fe-533b-46d7-baa7-dbbb4228b652,Villanueva-Valdez,Virtual zero-defect core,Rome,Italy,332
128edd80-1b7e-42ad-8715-7a61f8c2f8c0,"Knight, Lindsey and Lucero",Cross-group fault-tolerant leverage,Madrid,Spain,477
1b958a3f-b38a-4a0e-8995-afe242b23d53,Freeman-Greer,Organized actuating hardware,London,United Kingdom,309
fb068155-5238-46e7-b853-c25564e2954a,"Smith, Potter and Adams",Multi-channeled human-resource standardization,Berlin,Germany,273
45a3b44b-426a-421c-b818-6b73fb01b02f,Barnett-Moss,Monitored multimedia website,Rome,Italy,481
b6a04f70-84fa-49b1-80a5-93820bfdafc1,Bass-Mosley,Seamless even-keeled moderator,London,United Kingdom,416
77931e02-eaf1-47ac-9cec-d97dda81e3ac,Rodriguez-Lee,De-engineered 3rdgeneration policy,Prague,Czech Republic,339
3b682c93-747f-4479-a5b6-4642d83b8598,Chung Group,Seamless empowering ability,Budapest,Hungary,401
f7418ea0-42ca-454f-98cd-174462baee09,Fernandez LLC,Open-architected contextually-based capability,Vienna,Austria,52
1e2ef059-5ed3-4712-a8e0-11604b3a6189,Acevedo Inc,Configurable solution-oriented interface,Warsaw,Poland,183
6e6e8bd8-1619-4ade-883e-d4b90404a85b,Jackson-Jones,Re-contextualized uniform model,Prague,Czech Republic,197
ca996956-ef4c-4022-b17a-5c6a3c533bcf,"Massey, Romero and Lopez",Triple-buffered motivating knowledgebase,Rome,Italy,495
24edc2c6-c047-4451-b9b0-ada727c657b7,"Thompson, Smith and Hutchinson",Extended next generation encoding,Warsaw,Poland,83
1a1798d6-a941-4384-a3b0-477d319f508f,Rivera Inc,Exclusive maximized hierarchy,Berlin,Germany,328
895823a2-6a55-442d-a1a0-8e6c045bc7cf,"Morse, Wallace and Hunt",Devolved 5thgeneration protocol,Madrid,Spain,13
c3d02636-d1d7-4eca-8400-f17e7ffced04,Nichols Inc,Grass-roots needs-based migration,Prague,Czech Republic,244
953ea275-70fc-4ad3-9199-934f7edd9eec,"Lopez, Pennington and Hicks",Customer-focused hybrid interface,Rome,Italy,138
95ea0dbe-036a-4ae0-aac6-b16f103937b5,"Ross, Hudson and Adams",Synergistic solution-oriented customer loyalty,Budapest,Hungary,186
27b68422-654d-4af2-970a-0a7c068b7d0c,Jones LLC,Focused asynchronous methodology,Warsaw,Poland,489
4a1740b1-bb3a-4c95-92cf-4d029c2b786d,Martinez LLC,Ameliorated intangible application,Rome,Italy,400
fea9f6af-8000-4772-8ae3-f50d856b8d8d,Stone-Fisher,Profound impactful firmware,Berlin,Germany,301
8c6630ed-9c72-4f75-9fc4-9c95f42110b6,Howard-Griffith,Universal systematic protocol,London,United Kingdom,282
b0b3b087-1c66-4f08-86b4-8fb88087a927,Jones-Nelson,Enterprise-wide static open system,Vienna,Austria,243
bb866d30-dcc3-42bc-a563-7bfd57fdbf20,Thompson-Lewis,Mandatory eco-centric open architecture,Paris,France,226
0ff9c51a-1ebc-41e4-abc7-616db750db42,"Kent, Murphy and Hill",Polarized incremental system engine,Madrid,Spain,268
3f86e858-91cf-457c-bb42-7910dedb0e4c,"Smith, Welch and Davenport",Operative eco-centric superstructure,Vienna,Austria,82
9b7683d9-ab86-47d6-afdc-35f2fa288f9d,"Miller, Hall and Stephenson",Profound value-added function,Budapest,Hungary,284
09fe36b4-ded6-4082-aa9b-08272ebe1d9a,Cabrera-Bender,Front-line bottom-line standardization,Paris,France,36
8c5b1b2c-e2c1-4d3d-ac11-553c8b6b2ee7,Cain-Velez,Polarized 3rdgeneration project,Paris,France,79
